[2024-06-22 14:43:10,597][utils.model][INFO] - Step 8/40 - val_loss: 0.1966 - val_accuracy: 0.9380
[2024-06-22 14:43:10,618][utils.model][INFO] - Step 9/40 - val_loss: 0.2061 - val_accuracy: 0.9371
[2024-06-22 14:43:10,647][utils.model][INFO] - Step 10/40 - val_loss: 0.2012 - val_accuracy: 0.9398
[2024-06-22 14:43:10,668][utils.model][INFO] - Step 11/40 - val_loss: 0.1982 - val_accuracy: 0.9418
[2024-06-22 14:43:10,688][utils.model][INFO] - Step 12/40 - val_loss: 0.1951 - val_accuracy: 0.9427
[2024-06-22 14:43:10,706][utils.model][INFO] - Step 13/40 - val_loss: 0.1949 - val_accuracy: 0.9429
[2024-06-22 14:43:10,725][utils.model][INFO] - Step 14/40 - val_loss: 0.1960 - val_accuracy: 0.9411
[2024-06-22 14:43:10,743][utils.model][INFO] - Step 15/40 - val_loss: 0.2000 - val_accuracy: 0.9398
[2024-06-22 14:43:10,762][utils.model][INFO] - Step 16/40 - val_loss: 0.2024 - val_accuracy: 0.9390
[2024-06-22 14:43:10,781][utils.model][INFO] - Step 17/40 - val_loss: 0.2052 - val_accuracy: 0.9384
[2024-06-22 14:43:10,800][utils.model][INFO] - Step 18/40 - val_loss: 0.2039 - val_accuracy: 0.9386
[2024-06-22 14:43:10,819][utils.model][INFO] - Step 19/40 - val_loss: 0.2028 - val_accuracy: 0.9389
[2024-06-22 14:43:10,837][utils.model][INFO] - Step 20/40 - val_loss: 0.2001 - val_accuracy: 0.9391
[2024-06-22 14:43:10,856][utils.model][INFO] - Step 21/40 - val_loss: 0.1949 - val_accuracy: 0.9410
[2024-06-22 14:43:10,875][utils.model][INFO] - Step 22/40 - val_loss: 0.1888 - val_accuracy: 0.9428
[2024-06-22 14:43:10,894][utils.model][INFO] - Step 23/40 - val_loss: 0.1869 - val_accuracy: 0.9436
[2024-06-22 14:43:10,914][utils.model][INFO] - Step 24/40 - val_loss: 0.1896 - val_accuracy: 0.9422
[2024-06-22 14:43:10,932][utils.model][INFO] - Step 25/40 - val_loss: 0.1848 - val_accuracy: 0.9436
[2024-06-22 14:43:10,952][utils.model][INFO] - Step 26/40 - val_loss: 0.1852 - val_accuracy: 0.9437
[2024-06-22 14:43:10,972][utils.model][INFO] - Step 27/40 - val_loss: 0.1817 - val_accuracy: 0.9446
[2024-06-22 14:43:10,990][utils.model][INFO] - Step 28/40 - val_loss: 0.1771 - val_accuracy: 0.9461
[2024-06-22 14:43:11,009][utils.model][INFO] - Step 29/40 - val_loss: 0.1734 - val_accuracy: 0.9477
[2024-06-22 14:43:11,030][utils.model][INFO] - Step 30/40 - val_loss: 0.1714 - val_accuracy: 0.9484
[2024-06-22 14:43:11,048][utils.model][INFO] - Step 31/40 - val_loss: 0.1694 - val_accuracy: 0.9488
[2024-06-22 14:43:11,067][utils.model][INFO] - Step 32/40 - val_loss: 0.1667 - val_accuracy: 0.9495
[2024-06-22 14:43:11,086][utils.model][INFO] - Step 33/40 - val_loss: 0.1645 - val_accuracy: 0.9500
